Year,yield(t/ha),State,County
1992,9.09425674,ILLINOIS,LEE
1991,7.463562428,ILLINOIS,LEE
1990,8.090752548,ILLINOIS,LEE
1989,8.341628596,ILLINOIS,LEE
1988,4.202173804,ILLINOIS,LEE
1987,7.714438476,ILLINOIS,LEE
1986,8.404347608,ILLINOIS,LEE
1985,9.219694764,ILLINOIS,LEE
1984,7.777157488,ILLINOIS,LEE
1983,6.460058236,ILLINOIS,LEE
1982,8.278909584,ILLINOIS,LEE
1981,8.529785632,ILLINOIS,LEE
1980,7.651719464,ILLINOIS,LEE
2020,11.98560319,ILLINOIS,MERCER
2019,11.79744616,ILLINOIS,MERCER
2018,14.50690748,ILLINOIS,MERCER
2017,14.97102816,ILLINOIS,MERCER
2016,13.39050906,ILLINOIS,MERCER
2015,12.90130077,ILLINOIS,MERCER
2014,12.13612882,ILLINOIS,MERCER
2013,11.10753703,ILLINOIS,MERCER
2012,11.29569406,ILLINOIS,MERCER
2011,10.15420804,ILLINOIS,MERCER
2010,8.931187309,ILLINOIS,MERCER
2009,11.03854611,ILLINOIS,MERCER
2008,12.0420503,ILLINOIS,MERCER
2007,12.0420503,ILLINOIS,MERCER
2006,10.66223204,ILLINOIS,MERCER
2005,9.72144686,ILLINOIS,MERCER
2004,11.4775792,ILLINOIS,MERCER
2003,11.03854611,ILLINOIS,MERCER
2002,10.91310809,ILLINOIS,MERCER
2001,9.909603896,ILLINOIS,MERCER
2000,9.282413776,ILLINOIS,MERCER
1999,9.470570812,ILLINOIS,MERCER
1998,8.906099704,ILLINOIS,MERCER
1997,7.8398765,ILLINOIS,MERCER
1996,8.592504644,ILLINOIS,MERCER
1995,7.651719464,ILLINOIS,MERCER
1994,10.41135599,ILLINOIS,MERCER
1993,7.651719464,ILLINOIS,MERCER
1992,8.906099704,ILLINOIS,MERCER
1991,7.52628144,ILLINOIS,MERCER
1990,8.46706662,ILLINOIS,MERCER
1989,4.515768864,ILLINOIS,MERCER
1988,4.07673578,ILLINOIS,MERCER
1987,7.589000452,ILLINOIS,MERCER
1986,8.46706662,ILLINOIS,MERCER
1985,7.463562428,ILLINOIS,MERCER
1984,7.400843416,ILLINOIS,MERCER
1983,6.021025152,ILLINOIS,MERCER
1982,7.777157488,ILLINOIS,MERCER
1981,8.404347608,ILLINOIS,MERCER
1980,7.21268638,ILLINOIS,MERCER
2021,12.30547015,ILLINOIS,OGLE
2020,11.96678749,ILLINOIS,OGLE
2019,11.99187509,ILLINOIS,OGLE
2018,12.43090818,ILLINOIS,OGLE
2017,12.98283548,ILLINOIS,OGLE
2016,14.16822481,ILLINOIS,OGLE
2015,11.70336764,ILLINOIS,OGLE
2014,12.12985692,ILLINOIS,OGLE
2013,11.89152468,ILLINOIS,OGLE
2012,8.962546815,ILLINOIS,OGLE
2011,11.25806265,ILLINOIS,OGLE
2010,11.5026668,ILLINOIS,OGLE
2009,10.474075,ILLINOIS,OGLE
2008,11.54029821,ILLINOIS,OGLE
2007,11.85389327,ILLINOIS,OGLE
2006,11.22670315,ILLINOIS,OGLE
2005,8.717942668,ILLINOIS,OGLE
2004,11.54029821,ILLINOIS,OGLE
2003,9.909603896,ILLINOIS,OGLE
2002,9.470570812,ILLINOIS,OGLE
2001,9.4078518,ILLINOIS,OGLE
2000,9.658727848,ILLINOIS,OGLE
1999,9.972322908,ILLINOIS,OGLE
1998,9.972322908,ILLINOIS,OGLE
1997,8.655223656,ILLINOIS,OGLE
1996,8.341628596,ILLINOIS,OGLE
1995,7.52628144,ILLINOIS,OGLE
1994,10.09776093,ILLINOIS,OGLE
1993,7.338124404,ILLINOIS,OGLE
1992,8.529785632,ILLINOIS,OGLE
1991,7.149967368,ILLINOIS,OGLE
1990,8.529785632,ILLINOIS,OGLE
1989,8.78066168,ILLINOIS,OGLE
1988,4.139454792,ILLINOIS,OGLE
1987,8.341628596,ILLINOIS,OGLE
1986,8.404347608,ILLINOIS,OGLE
1985,8.78066168,ILLINOIS,OGLE
1984,7.589000452,ILLINOIS,OGLE
1983,5.707430092,ILLINOIS,OGLE
1982,8.216190572,ILLINOIS,OGLE
1981,8.090752548,ILLINOIS,OGLE
1980,7.463562428,ILLINOIS,OGLE
2021,12.5626181,ILLINOIS,PUTNAM
2020,12.24902304,ILLINOIS,PUTNAM
2018,12.93266027,ILLINOIS,PUTNAM
2017,13.18980822,ILLINOIS,PUTNAM
2016,13.67901652,ILLINOIS,PUTNAM
2015,11.68455194,ILLINOIS,PUTNAM
2014,12.21766354,ILLINOIS,PUTNAM
2013,11.74099905,ILLINOIS,PUTNAM
2011,11.01345851,ILLINOIS,PUTNAM
2010,10.27337417,ILLINOIS,PUTNAM
2009,11.28942216,ILLINOIS,PUTNAM
2008,12.23020734,ILLINOIS,PUTNAM
2007,11.72845524,ILLINOIS,PUTNAM
2006,11.35214117,ILLINOIS,PUTNAM
2005,8.655223656,ILLINOIS,PUTNAM
2004,11.85389327,ILLINOIS,PUTNAM
2003,11.10126512,ILLINOIS,PUTNAM
2002,9.09425674,ILLINOIS,PUTNAM
2001,10.34863698,ILLINOIS,PUTNAM
2000,9.909603896,ILLINOIS,PUTNAM
1999,9.470570812,ILLINOIS,PUTNAM
1998,9.909603896,ILLINOIS,PUTNAM
1997,8.529785632,ILLINOIS,PUTNAM
1996,10.03504192,ILLINOIS,PUTNAM
1995,7.714438476,ILLINOIS,PUTNAM
1994,10.53679402,ILLINOIS,PUTNAM
1993,8.404347608,ILLINOIS,PUTNAM
1992,9.4078518,ILLINOIS,PUTNAM
1991,6.460058236,ILLINOIS,PUTNAM
1990,7.902595512,ILLINOIS,PUTNAM
1989,7.52628144,ILLINOIS,PUTNAM
1988,4.453049852,ILLINOIS,PUTNAM
1987,8.15347156,ILLINOIS,PUTNAM
1986,8.090752548,ILLINOIS,PUTNAM
1985,9.219694764,ILLINOIS,PUTNAM
1984,7.8398765,ILLINOIS,PUTNAM
1983,5.268397008,ILLINOIS,PUTNAM
1982,8.028033536,ILLINOIS,PUTNAM
1981,7.8398765,ILLINOIS,PUTNAM
1980,6.89909132,ILLINOIS,PUTNAM
2021,12.93893218,ILLINOIS,ROCK ISLAND
2020,12.43718008,ILLINOIS,ROCK ISLAND
2018,14.01142728,ILLINOIS,ROCK ISLAND
2017,14.1243215,ILLINOIS,ROCK ISLAND
2016,13.22116773,ILLINOIS,ROCK ISLAND
2015,12.14867262,ILLINOIS,ROCK ISLAND
2014,11.65319243,ILLINOIS,ROCK ISLAND
2013,11.43367589,ILLINOIS,ROCK ISLAND
2011,11.06363372,ILLINOIS,ROCK ISLAND
2010,10.27964607,ILLINOIS,ROCK ISLAND
2009,10.9758271,ILLINOIS,ROCK ISLAND
2008,11.4775792,ILLINOIS,ROCK ISLAND
2007,12.10476932,ILLINOIS,ROCK ISLAND
2006,10.34863698,ILLINOIS,ROCK ISLAND
2005,8.78066168,ILLINOIS,ROCK ISLAND
2004,11.41486018,ILLINOIS,ROCK ISLAND
2003,10.85038908,ILLINOIS,ROCK ISLAND
2002,10.9758271,ILLINOIS,ROCK ISLAND
2001,9.533289824,ILLINOIS,ROCK ISLAND
2000,9.031537728,ILLINOIS,ROCK ISLAND
1999,9.156975752,ILLINOIS,ROCK ISLAND
1998,9.4078518,ILLINOIS,ROCK ISLAND
1997,8.15347156,ILLINOIS,ROCK ISLAND
1996,9.031537728,ILLINOIS,ROCK ISLAND
1995,7.651719464,ILLINOIS,ROCK ISLAND
1994,10.34863698,ILLINOIS,ROCK ISLAND
1993,7.338124404,ILLINOIS,ROCK ISLAND
1992,8.906099704,ILLINOIS,ROCK ISLAND
1991,6.522777248,ILLINOIS,ROCK ISLAND
1990,8.090752548,ILLINOIS,ROCK ISLAND
1989,6.836372308,ILLINOIS,ROCK ISLAND
1988,4.327611828,ILLINOIS,ROCK ISLAND
1987,7.714438476,ILLINOIS,ROCK ISLAND
1986,7.8398765,ILLINOIS,ROCK ISLAND
1985,6.836372308,ILLINOIS,ROCK ISLAND
1984,7.21268638,ILLINOIS,ROCK ISLAND
1983,5.01752096,ILLINOIS,ROCK ISLAND
1982,8.028033536,ILLINOIS,ROCK ISLAND
1981,8.404347608,ILLINOIS,ROCK ISLAND
1980,7.149967368,ILLINOIS,ROCK ISLAND
2021,12.72568753,ILLINOIS,STEPHENSON
2020,12.78840655,ILLINOIS,STEPHENSON
2019,12.26783875,ILLINOIS,STEPHENSON
2018,13.11454541,ILLINOIS,STEPHENSON
2017,12.92011647,ILLINOIS,STEPHENSON
2016,13.24625533,ILLINOIS,STEPHENSON
2015,12.07340981,ILLINOIS,STEPHENSON
2014,12.07968171,ILLINOIS,STEPHENSON
2013,11.41486018,ILLINOIS,STEPHENSON
2012,6.447514434,ILLINOIS,STEPHENSON
2011,11.38977258,ILLINOIS,STEPHENSON
2010,11.33959737,ILLINOIS,STEPHENSON
2009,10.9758271,ILLINOIS,STEPHENSON
2008,10.9758271,ILLINOIS,STEPHENSON
2007,11.41486018,ILLINOIS,STEPHENSON
2006,10.9758271,ILLINOIS,STEPHENSON
2005,9.156975752,ILLINOIS,STEPHENSON
2004,11.54029821,ILLINOIS,STEPHENSON
2003,9.972322908,ILLINOIS,STEPHENSON
2002,9.09425674,ILLINOIS,STEPHENSON
2001,8.843380692,ILLINOIS,STEPHENSON
2000,9.09425674,ILLINOIS,STEPHENSON
1999,9.658727848,ILLINOIS,STEPHENSON
1998,9.909603896,ILLINOIS,STEPHENSON
1997,8.404347608,ILLINOIS,STEPHENSON
1996,8.028033536,ILLINOIS,STEPHENSON
1995,7.149967368,ILLINOIS,STEPHENSON
1994,9.4078518,ILLINOIS,STEPHENSON
1993,6.397339224,ILLINOIS,STEPHENSON
1992,7.777157488,ILLINOIS,STEPHENSON
1991,6.89909132,ILLINOIS,STEPHENSON
1990,8.341628596,ILLINOIS,STEPHENSON
1989,7.8398765,ILLINOIS,STEPHENSON
1988,4.264892816,ILLINOIS,STEPHENSON
1987,7.463562428,ILLINOIS,STEPHENSON
1986,8.028033536,ILLINOIS,STEPHENSON
1985,8.278909584,ILLINOIS,STEPHENSON
1984,7.087248356,ILLINOIS,STEPHENSON
1983,5.01752096,ILLINOIS,STEPHENSON
1982,7.777157488,ILLINOIS,STEPHENSON
1981,7.902595512,ILLINOIS,STEPHENSON
1980,6.89909132,ILLINOIS,STEPHENSON
2021,12.70687183,ILLINOIS,WHITESIDE
2020,11.64692053,ILLINOIS,WHITESIDE
2019,12.0420503,ILLINOIS,WHITESIDE
2018,13.54103469,ILLINOIS,WHITESIDE
2017,13.13336111,ILLINOIS,WHITESIDE
2016,12.48108339,ILLINOIS,WHITESIDE
2015,11.54029821,ILLINOIS,WHITESIDE
2014,11.57792962,ILLINOIS,WHITESIDE
2013,11.27687836,ILLINOIS,WHITESIDE
2012,8.768117878,ILLINOIS,WHITESIDE
2011,10.19811135,ILLINOIS,WHITESIDE
2010,10.31100557,ILLINOIS,WHITESIDE
2009,11.22670315,ILLINOIS,WHITESIDE
2008,11.35214117,ILLINOIS,WHITESIDE
2007,10.85038908,ILLINOIS,WHITESIDE
2006,10.91310809,ILLINOIS,WHITESIDE
2005,7.902595512,ILLINOIS,WHITESIDE
2004,11.4775792,ILLINOIS,WHITESIDE
2003,11.03854611,ILLINOIS,WHITESIDE
2002,9.658727848,ILLINOIS,WHITESIDE
2001,9.09425674,ILLINOIS,WHITESIDE
2000,8.717942668,ILLINOIS,WHITESIDE
1999,9.09425674,ILLINOIS,WHITESIDE
1998,9.533289824,ILLINOIS,WHITESIDE
1997,8.46706662,ILLINOIS,WHITESIDE
1996,8.843380692,ILLINOIS,WHITESIDE
1995,7.651719464,ILLINOIS,WHITESIDE
1994,9.533289824,ILLINOIS,WHITESIDE
1993,6.961810332,ILLINOIS,WHITESIDE
1992,8.843380692,ILLINOIS,WHITESIDE
1991,6.460058236,ILLINOIS,WHITESIDE
1990,7.902595512,ILLINOIS,WHITESIDE
1989,7.275405392,ILLINOIS,WHITESIDE
1988,3.386826648,ILLINOIS,WHITESIDE
1987,7.8398765,ILLINOIS,WHITESIDE
1986,8.216190572,ILLINOIS,WHITESIDE
1985,8.341628596,ILLINOIS,WHITESIDE
1984,7.149967368,ILLINOIS,WHITESIDE
1983,6.58549626,ILLINOIS,WHITESIDE
1982,8.028033536,ILLINOIS,WHITESIDE
1981,8.341628596,ILLINOIS,WHITESIDE
1980,7.400843416,ILLINOIS,WHITESIDE
2021,12.28038255,ILLINOIS,WINNEBAGO
2020,12.0420503,ILLINOIS,WINNEBAGO
2019,12.0295065,ILLINOIS,WINNEBAGO
2018,11.56538581,ILLINOIS,WINNEBAGO
2017,11.54029821,ILLINOIS,WINNEBAGO
2016,12.16121643,ILLINOIS,WINNEBAGO
2015,11.59047342,ILLINOIS,WINNEBAGO
2014,11.94169988,ILLINOIS,WINNEBAGO
2013,10.86293288,ILLINOIS,WINNEBAGO
2012,6.246813595,ILLINOIS,WINNEBAGO
2011,10.17302375,ILLINOIS,WINNEBAGO
2010,10.81902957,ILLINOIS,WINNEBAGO
2009,10.41135599,ILLINOIS,WINNEBAGO
2008,10.53679402,ILLINOIS,WINNEBAGO
2007,11.10126512,ILLINOIS,WINNEBAGO
2006,9.909603896,ILLINOIS,WINNEBAGO
2005,8.15347156,ILLINOIS,WINNEBAGO
2004,10.78767006,ILLINOIS,WINNEBAGO
2003,9.031537728,ILLINOIS,WINNEBAGO
2002,7.714438476,ILLINOIS,WINNEBAGO
2001,7.463562428,ILLINOIS,WINNEBAGO
2000,8.15347156,ILLINOIS,WINNEBAGO
1999,9.72144686,ILLINOIS,WINNEBAGO
1998,9.345132788,ILLINOIS,WINNEBAGO
1997,8.529785632,ILLINOIS,WINNEBAGO
1996,7.902595512,ILLINOIS,WINNEBAGO
1995,7.52628144,ILLINOIS,WINNEBAGO
1994,9.156975752,ILLINOIS,WINNEBAGO
1993,6.460058236,ILLINOIS,WINNEBAGO
1992,7.965314524,ILLINOIS,WINNEBAGO
1991,6.021025152,ILLINOIS,WINNEBAGO
1990,8.404347608,ILLINOIS,WINNEBAGO
1989,7.902595512,ILLINOIS,WINNEBAGO
1988,3.324107636,ILLINOIS,WINNEBAGO
1987,7.087248356,ILLINOIS,WINNEBAGO
1986,8.15347156,ILLINOIS,WINNEBAGO
1985,7.651719464,ILLINOIS,WINNEBAGO
1984,7.275405392,ILLINOIS,WINNEBAGO
1983,4.892082936,ILLINOIS,WINNEBAGO
1982,7.8398765,ILLINOIS,WINNEBAGO
1981,7.651719464,ILLINOIS,WINNEBAGO
1980,6.89909132,ILLINOIS,WINNEBAGO
2019,10.32354938,ILLINOIS,OTHER (COMBINED) COUNTIES
2018,9.307501381,ILLINOIS,OTHER (COMBINED) COUNTIES
2017,9.382764195,ILLINOIS,OTHER (COMBINED) COUNTIES
2016,11.88525277,ILLINOIS,OTHER (COMBINED) COUNTIES
2015,10.79394197,ILLINOIS,OTHER (COMBINED) COUNTIES
2014,12.23647924,ILLINOIS,OTHER (COMBINED) COUNTIES
2013,9.677543552,ILLINOIS,OTHER (COMBINED) COUNTIES
2012,7.614088057,ILLINOIS,OTHER (COMBINED) COUNTIES
2011,8.717942668,ILLINOIS,OTHER (COMBINED) COUNTIES
2010,8.661495557,ILLINOIS,OTHER (COMBINED) COUNTIES
2008,9.658727848,ILLINOIS,OTHER (COMBINED) COUNTIES
2021,12.5438024,ILLINOIS,BOONE
2020,12.05459411,ILLINOIS,BOONE
2019,11.22670315,ILLINOIS,BOONE
2018,12.17376023,ILLINOIS,BOONE
2017,11.91034038,ILLINOIS,BOONE
2016,12.38700487,ILLINOIS,BOONE
2015,12.61279331,ILLINOIS,BOONE
2014,12.0044189,ILLINOIS,BOONE
2013,11.28315026,ILLINOIS,BOONE
2011,11.29569406,ILLINOIS,BOONE
2010,11.44621969,ILLINOIS,BOONE
2009,9.282413776,ILLINOIS,BOONE
2008,10.59951303,ILLINOIS,BOONE
2007,11.41486018,ILLINOIS,BOONE
2006,10.78767006,ILLINOIS,BOONE
2005,7.275405392,ILLINOIS,BOONE
2004,10.9758271,ILLINOIS,BOONE
2003,9.533289824,ILLINOIS,BOONE
2002,8.341628596,ILLINOIS,BOONE
2001,9.156975752,ILLINOIS,BOONE
2000,8.78066168,ILLINOIS,BOONE
1999,9.345132788,ILLINOIS,BOONE
1998,9.972322908,ILLINOIS,BOONE
1997,8.592504644,ILLINOIS,BOONE
1996,7.902595512,ILLINOIS,BOONE
1995,6.397339224,ILLINOIS,BOONE
1994,10.03504192,ILLINOIS,BOONE
1993,6.209182188,ILLINOIS,BOONE
1992,8.15347156,ILLINOIS,BOONE
1991,5.205677996,ILLINOIS,BOONE
1990,8.15347156,ILLINOIS,BOONE
1989,8.655223656,ILLINOIS,BOONE
1988,4.139454792,ILLINOIS,BOONE
1987,7.463562428,ILLINOIS,BOONE
1986,8.46706662,ILLINOIS,BOONE
1985,7.651719464,ILLINOIS,BOONE
1984,7.21268638,ILLINOIS,BOONE
1983,6.460058236,ILLINOIS,BOONE
1982,8.216190572,ILLINOIS,BOONE
1981,7.714438476,ILLINOIS,BOONE
1980,7.275405392,ILLINOIS,BOONE
2021,10.68104774,ILLINOIS,COOK
2019,10.91310809,ILLINOIS,COOK
2016,10.66223204,ILLINOIS,COOK
2010,9.138160048,ILLINOIS,COOK
2009,8.655223656,ILLINOIS,COOK
2007,8.592504644,ILLINOIS,COOK
2006,9.470570812,ILLINOIS,COOK
2005,7.52628144,ILLINOIS,COOK
2004,9.658727848,ILLINOIS,COOK
2003,8.843380692,ILLINOIS,COOK
2002,5.832868116,ILLINOIS,COOK
2001,8.278909584,ILLINOIS,COOK
2000,6.773653296,ILLINOIS,COOK
1999,6.961810332,ILLINOIS,COOK
1998,8.216190572,ILLINOIS,COOK
1997,8.028033536,ILLINOIS,COOK
1996,6.961810332,ILLINOIS,COOK
1995,5.95830614,ILLINOIS,COOK
1994,9.282413776,ILLINOIS,COOK
1993,7.087248356,ILLINOIS,COOK
1992,7.589000452,ILLINOIS,COOK
1991,3.637702696,ILLINOIS,COOK
1990,6.648215272,ILLINOIS,COOK
1989,6.648215272,ILLINOIS,COOK
1988,3.637702696,ILLINOIS,COOK
1987,7.21268638,ILLINOIS,COOK
1986,7.21268638,ILLINOIS,COOK
1985,7.338124404,ILLINOIS,COOK
1984,6.773653296,ILLINOIS,COOK
1983,5.770149104,ILLINOIS,COOK
1982,7.589000452,ILLINOIS,COOK
1981,7.338124404,ILLINOIS,COOK
1980,6.146463176,ILLINOIS,COOK
2021,12.71314373,ILLINOIS,DE KALB
