Year,yield(t/ha),State,County
1988,2.016,ILLINOIS,HENRY
1987,2.9568,ILLINOIS,HENRY
1986,2.9904,ILLINOIS,HENRY
1985,3.0576,ILLINOIS,HENRY
1984,2.5536,ILLINOIS,HENRY
1983,2.5536,ILLINOIS,HENRY
1982,2.7552,ILLINOIS,HENRY
1981,2.9568,ILLINOIS,HENRY
1980,2.7552,ILLINOIS,HENRY
2021,3.94464,ILLINOIS,JO DAVIESS
2020,3.97152,ILLINOIS,JO DAVIESS
2019,3.73632,ILLINOIS,JO DAVIESS
2017,3.58848,ILLINOIS,JO DAVIESS
2016,4.07232,ILLINOIS,JO DAVIESS
2015,3.71616,ILLINOIS,JO DAVIESS
2014,3.74976,ILLINOIS,JO DAVIESS
2013,3.33984,ILLINOIS,JO DAVIESS
2012,2.3856,ILLINOIS,JO DAVIESS
2011,4.09248,ILLINOIS,JO DAVIESS
2010,3.70272,ILLINOIS,JO DAVIESS
2009,3.0912,ILLINOIS,JO DAVIESS
2008,2.8896,ILLINOIS,JO DAVIESS
2007,3.5616,ILLINOIS,JO DAVIESS
2006,3.6288,ILLINOIS,JO DAVIESS
2005,3.5616,ILLINOIS,JO DAVIESS
2004,3.4944,ILLINOIS,JO DAVIESS
2003,1.7472,ILLINOIS,JO DAVIESS
2002,3.5616,ILLINOIS,JO DAVIESS
2001,3.2928,ILLINOIS,JO DAVIESS
2000,3.2256,ILLINOIS,JO DAVIESS
1999,3.5616,ILLINOIS,JO DAVIESS
1998,3.8304,ILLINOIS,JO DAVIESS
1997,3.3264,ILLINOIS,JO DAVIESS
1996,3.1248,ILLINOIS,JO DAVIESS
1995,3.4272,ILLINOIS,JO DAVIESS
1994,3.3936,ILLINOIS,JO DAVIESS
1993,2.3184,ILLINOIS,JO DAVIESS
1992,2.7216,ILLINOIS,JO DAVIESS
1991,3.5952,ILLINOIS,JO DAVIESS
1990,2.9904,ILLINOIS,JO DAVIESS
1989,2.7216,ILLINOIS,JO DAVIESS
1988,1.8816,ILLINOIS,JO DAVIESS
1987,2.9568,ILLINOIS,JO DAVIESS
1986,2.4528,ILLINOIS,JO DAVIESS
1985,2.7216,ILLINOIS,JO DAVIESS
1984,2.2512,ILLINOIS,JO DAVIESS
1983,2.5536,ILLINOIS,JO DAVIESS
1982,2.5536,ILLINOIS,JO DAVIESS
1981,2.4528,ILLINOIS,JO DAVIESS
1980,2.5536,ILLINOIS,JO DAVIESS
2021,4.47552,ILLINOIS,LEE
2020,4.34784,ILLINOIS,LEE
2019,4.01184,ILLINOIS,LEE
2018,4.28064,ILLINOIS,LEE
2017,3.99168,ILLINOIS,LEE
2016,4.08576,ILLINOIS,LEE
2015,4.0656,ILLINOIS,LEE
2014,3.97152,ILLINOIS,LEE
2013,3.61536,ILLINOIS,LEE
2012,3.528,ILLINOIS,LEE
2011,4.00512,ILLINOIS,LEE
2010,3.77664,ILLINOIS,LEE
2009,3.024,ILLINOIS,LEE
2008,3.0912,ILLINOIS,LEE
2007,3.2928,ILLINOIS,LEE
2006,3.5616,ILLINOIS,LEE
2005,3.1584,ILLINOIS,LEE
2004,3.2928,ILLINOIS,LEE
2003,2.016,ILLINOIS,LEE
2002,3.0912,ILLINOIS,LEE
2001,3.0912,ILLINOIS,LEE
2000,3.0912,ILLINOIS,LEE
1999,3.1584,ILLINOIS,LEE
1998,3.4608,ILLINOIS,LEE
1997,3.1584,ILLINOIS,LEE
1996,2.9568,ILLINOIS,LEE
1995,2.9904,ILLINOIS,LEE
1994,3.528,ILLINOIS,LEE
1993,2.9568,ILLINOIS,LEE
1992,3.0576,ILLINOIS,LEE
1991,2.9904,ILLINOIS,LEE
1990,3.024,ILLINOIS,LEE
1989,2.9568,ILLINOIS,LEE
1988,1.848,ILLINOIS,LEE
1987,2.856,ILLINOIS,LEE
1986,2.688,ILLINOIS,LEE
1985,2.9904,ILLINOIS,LEE
1984,2.4528,ILLINOIS,LEE
1983,2.7216,ILLINOIS,LEE
1982,2.688,ILLINOIS,LEE
1981,2.9568,ILLINOIS,LEE
1980,2.688,ILLINOIS,LEE
2020,3.99168,ILLINOIS,MERCER
2019,3.48768,ILLINOIS,MERCER
2018,4.24704,ILLINOIS,MERCER
2017,4.032,ILLINOIS,MERCER
2016,4.02528,ILLINOIS,MERCER
2015,3.98496,ILLINOIS,MERCER
2014,3.8304,ILLINOIS,MERCER
2013,3.24576,ILLINOIS,MERCER
2012,3.76992,ILLINOIS,MERCER
2011,3.55488,ILLINOIS,MERCER
2010,3.55488,ILLINOIS,MERCER
2009,3.1584,ILLINOIS,MERCER
2008,3.2256,ILLINOIS,MERCER
2007,3.4272,ILLINOIS,MERCER
2006,3.2256,ILLINOIS,MERCER
2005,3.4272,ILLINOIS,MERCER
2004,3.5616,ILLINOIS,MERCER
2003,2.352,ILLINOIS,MERCER
2002,3.6288,ILLINOIS,MERCER
2001,3.1584,ILLINOIS,MERCER
2000,3.2256,ILLINOIS,MERCER
1999,3.2256,ILLINOIS,MERCER
1998,3.5616,ILLINOIS,MERCER
1997,3.2592,ILLINOIS,MERCER
1996,2.9904,ILLINOIS,MERCER
1995,2.9904,ILLINOIS,MERCER
1994,3.5616,ILLINOIS,MERCER
1993,2.9232,ILLINOIS,MERCER
1992,2.9232,ILLINOIS,MERCER
1991,3.36,ILLINOIS,MERCER
1990,3.0576,ILLINOIS,MERCER
1989,2.688,ILLINOIS,MERCER
1988,2.3184,ILLINOIS,MERCER
1987,2.8224,ILLINOIS,MERCER
1986,2.9568,ILLINOIS,MERCER
1985,2.9568,ILLINOIS,MERCER
1984,2.4864,ILLINOIS,MERCER
1983,2.688,ILLINOIS,MERCER
1982,2.6208,ILLINOIS,MERCER
1981,2.8896,ILLINOIS,MERCER
1980,2.6544,ILLINOIS,MERCER
2021,4.0656,ILLINOIS,OGLE
2020,4.15968,ILLINOIS,OGLE
2019,4.02528,ILLINOIS,OGLE
2018,4.32096,ILLINOIS,OGLE
2017,3.696,ILLINOIS,OGLE
2016,4.40832,ILLINOIS,OGLE
2015,4.04544,ILLINOIS,OGLE
2014,4.04544,ILLINOIS,OGLE
2013,3.64224,ILLINOIS,OGLE
2012,3.41376,ILLINOIS,OGLE
2011,4.02528,ILLINOIS,OGLE
2010,3.80352,ILLINOIS,OGLE
2009,3.024,ILLINOIS,OGLE
2008,3.024,ILLINOIS,OGLE
2007,3.4272,ILLINOIS,OGLE
2006,3.6288,ILLINOIS,OGLE
2005,3.0912,ILLINOIS,OGLE
2004,3.36,ILLINOIS,OGLE
2003,1.8144,ILLINOIS,OGLE
2002,2.8224,ILLINOIS,OGLE
2001,3.1584,ILLINOIS,OGLE
2000,2.8896,ILLINOIS,OGLE
1999,3.4272,ILLINOIS,OGLE
1998,3.6624,ILLINOIS,OGLE
1997,3.2256,ILLINOIS,OGLE
1996,2.8224,ILLINOIS,OGLE
1995,3.2256,ILLINOIS,OGLE
1994,3.36,ILLINOIS,OGLE
1993,2.856,ILLINOIS,OGLE
1992,2.9232,ILLINOIS,OGLE
1991,3.0912,ILLINOIS,OGLE
1990,3.1248,ILLINOIS,OGLE
1989,3.024,ILLINOIS,OGLE
1988,1.9824,ILLINOIS,OGLE
1987,3.1584,ILLINOIS,OGLE
1986,2.7552,ILLINOIS,OGLE
1985,2.8896,ILLINOIS,OGLE
1984,2.4864,ILLINOIS,OGLE
1983,2.5536,ILLINOIS,OGLE
1982,2.688,ILLINOIS,OGLE
1981,2.9568,ILLINOIS,OGLE
1980,2.688,ILLINOIS,OGLE
2021,4.11264,ILLINOIS,PUTNAM
2020,4.15296,ILLINOIS,PUTNAM
2017,3.84384,ILLINOIS,PUTNAM
2016,4.25376,ILLINOIS,PUTNAM
2015,4.032,ILLINOIS,PUTNAM
2014,4.01184,ILLINOIS,PUTNAM
2013,3.78336,ILLINOIS,PUTNAM
2012,3.55488,ILLINOIS,PUTNAM
2011,3.864,ILLINOIS,PUTNAM
2010,3.4608,ILLINOIS,PUTNAM
2009,3.2928,ILLINOIS,PUTNAM
2008,3.36,ILLINOIS,PUTNAM
2007,3.1584,ILLINOIS,PUTNAM
2006,3.4944,ILLINOIS,PUTNAM
2005,3.2928,ILLINOIS,PUTNAM
2004,3.5616,ILLINOIS,PUTNAM
2003,2.4192,ILLINOIS,PUTNAM
2002,3.2928,ILLINOIS,PUTNAM
2001,3.2256,ILLINOIS,PUTNAM
2000,3.2256,ILLINOIS,PUTNAM
1999,3.1584,ILLINOIS,PUTNAM
1998,3.36,ILLINOIS,PUTNAM
1997,3.2256,ILLINOIS,PUTNAM
1996,3.2256,ILLINOIS,PUTNAM
1995,2.9904,ILLINOIS,PUTNAM
1994,3.4272,ILLINOIS,PUTNAM
1993,3.2592,ILLINOIS,PUTNAM
1992,2.9568,ILLINOIS,PUTNAM
1991,3.024,ILLINOIS,PUTNAM
1990,3.0576,ILLINOIS,PUTNAM
1989,2.8224,ILLINOIS,PUTNAM
1988,1.8816,ILLINOIS,PUTNAM
1987,3.024,ILLINOIS,PUTNAM
1986,2.9568,ILLINOIS,PUTNAM
1985,3.1248,ILLINOIS,PUTNAM
1984,2.52,ILLINOIS,PUTNAM
1983,2.688,ILLINOIS,PUTNAM
1982,2.6544,ILLINOIS,PUTNAM
1981,2.9232,ILLINOIS,PUTNAM
1980,2.688,ILLINOIS,PUTNAM
2021,4.27392,ILLINOIS,ROCK ISLAND
2020,4.11936,ILLINOIS,ROCK ISLAND
2018,4.0656,ILLINOIS,ROCK ISLAND
2017,3.93792,ILLINOIS,ROCK ISLAND
2016,3.8976,ILLINOIS,ROCK ISLAND
2015,3.91104,ILLINOIS,ROCK ISLAND
2014,3.71616,ILLINOIS,ROCK ISLAND
2013,3.13824,ILLINOIS,ROCK ISLAND
2012,3.38016,ILLINOIS,ROCK ISLAND
2011,3.99168,ILLINOIS,ROCK ISLAND
2010,3.35328,ILLINOIS,ROCK ISLAND
2009,3.2256,ILLINOIS,ROCK ISLAND
2008,3.2256,ILLINOIS,ROCK ISLAND
2007,3.5616,ILLINOIS,ROCK ISLAND
2006,3.2928,ILLINOIS,ROCK ISLAND
2005,2.9568,ILLINOIS,ROCK ISLAND
2004,3.4944,ILLINOIS,ROCK ISLAND
2003,2.4192,ILLINOIS,ROCK ISLAND
2002,3.5616,ILLINOIS,ROCK ISLAND
2001,3.1584,ILLINOIS,ROCK ISLAND
2000,3.024,ILLINOIS,ROCK ISLAND
1999,2.9568,ILLINOIS,ROCK ISLAND
1998,3.4608,ILLINOIS,ROCK ISLAND
1997,3.2256,ILLINOIS,ROCK ISLAND
1996,3.1248,ILLINOIS,ROCK ISLAND
1995,2.8896,ILLINOIS,ROCK ISLAND
1994,3.36,ILLINOIS,ROCK ISLAND
1993,2.8224,ILLINOIS,ROCK ISLAND
1992,2.9904,ILLINOIS,ROCK ISLAND
1991,2.9904,ILLINOIS,ROCK ISLAND
1990,2.9568,ILLINOIS,ROCK ISLAND
1989,2.9568,ILLINOIS,ROCK ISLAND
1988,2.184,ILLINOIS,ROCK ISLAND
1987,2.9232,ILLINOIS,ROCK ISLAND
1986,2.856,ILLINOIS,ROCK ISLAND
1985,2.856,ILLINOIS,ROCK ISLAND
1984,2.3856,ILLINOIS,ROCK ISLAND
1983,2.6544,ILLINOIS,ROCK ISLAND
1982,2.5872,ILLINOIS,ROCK ISLAND
1981,2.9232,ILLINOIS,ROCK ISLAND
1980,2.5536,ILLINOIS,ROCK ISLAND
2021,4.27392,ILLINOIS,STEPHENSON
2020,4.30752,ILLINOIS,STEPHENSON
2019,3.79008,ILLINOIS,STEPHENSON
2018,4.25376,ILLINOIS,STEPHENSON
2017,3.97824,ILLINOIS,STEPHENSON
2016,4.45536,ILLINOIS,STEPHENSON
2015,4.02528,ILLINOIS,STEPHENSON
2014,3.84384,ILLINOIS,STEPHENSON
2013,3.74976,ILLINOIS,STEPHENSON
2012,2.90304,ILLINOIS,STEPHENSON
2011,4.05216,ILLINOIS,STEPHENSON
2010,3.76992,ILLINOIS,STEPHENSON
2009,3.2928,ILLINOIS,STEPHENSON
2008,3.024,ILLINOIS,STEPHENSON
2007,3.6288,ILLINOIS,STEPHENSON
2006,3.696,ILLINOIS,STEPHENSON
2005,3.36,ILLINOIS,STEPHENSON
2004,3.36,ILLINOIS,STEPHENSON
2003,1.7472,ILLINOIS,STEPHENSON
2002,3.024,ILLINOIS,STEPHENSON
2001,3.0912,ILLINOIS,STEPHENSON
2000,2.9568,ILLINOIS,STEPHENSON
1999,3.4944,ILLINOIS,STEPHENSON
1998,3.6288,ILLINOIS,STEPHENSON
1997,3.192,ILLINOIS,STEPHENSON
1996,2.7216,ILLINOIS,STEPHENSON
1995,3.36,ILLINOIS,STEPHENSON
1994,3.4272,ILLINOIS,STEPHENSON
1993,2.5872,ILLINOIS,STEPHENSON
1992,2.856,ILLINOIS,STEPHENSON
1991,3.192,ILLINOIS,STEPHENSON
1990,3.1248,ILLINOIS,STEPHENSON
1989,2.856,ILLINOIS,STEPHENSON
1988,2.0832,ILLINOIS,STEPHENSON
1987,3.0576,ILLINOIS,STEPHENSON
1986,2.5872,ILLINOIS,STEPHENSON
1985,2.7888,ILLINOIS,STEPHENSON
1984,2.3856,ILLINOIS,STEPHENSON
1983,2.4528,ILLINOIS,STEPHENSON
1982,2.6208,ILLINOIS,STEPHENSON
1981,2.7888,ILLINOIS,STEPHENSON
1980,2.52,ILLINOIS,STEPHENSON
2021,4.4352,ILLINOIS,WHITESIDE
2018,4.21344,ILLINOIS,WHITESIDE
2017,3.94464,ILLINOIS,WHITESIDE
2016,4.08576,ILLINOIS,WHITESIDE
2015,4.07904,ILLINOIS,WHITESIDE
2014,3.94464,ILLINOIS,WHITESIDE
2013,3.3936,ILLINOIS,WHITESIDE
2012,3.54816,ILLINOIS,WHITESIDE
2011,3.66912,ILLINOIS,WHITESIDE
2010,3.48768,ILLINOIS,WHITESIDE
2009,3.2928,ILLINOIS,WHITESIDE
2008,3.0912,ILLINOIS,WHITESIDE
2007,3.2928,ILLINOIS,WHITESIDE
2006,3.5616,ILLINOIS,WHITESIDE
2005,3.1584,ILLINOIS,WHITESIDE
2004,3.4272,ILLINOIS,WHITESIDE
2003,2.352,ILLINOIS,WHITESIDE
2002,3.36,ILLINOIS,WHITESIDE
2001,3.0912,ILLINOIS,WHITESIDE
2000,3.024,ILLINOIS,WHITESIDE
1999,3.2256,ILLINOIS,WHITESIDE
1998,3.5616,ILLINOIS,WHITESIDE
1997,3.192,ILLINOIS,WHITESIDE
1996,3.2256,ILLINOIS,WHITESIDE
1995,3.1584,ILLINOIS,WHITESIDE
1994,3.4272,ILLINOIS,WHITESIDE
1993,2.856,ILLINOIS,WHITESIDE
1992,2.9904,ILLINOIS,WHITESIDE
1991,2.7888,ILLINOIS,WHITESIDE
1990,2.9568,ILLINOIS,WHITESIDE
1989,2.9904,ILLINOIS,WHITESIDE
1988,1.68,ILLINOIS,WHITESIDE
1987,2.9232,ILLINOIS,WHITESIDE
1986,2.8224,ILLINOIS,WHITESIDE
1985,2.9232,ILLINOIS,WHITESIDE
1984,2.3184,ILLINOIS,WHITESIDE
1983,2.688,ILLINOIS,WHITESIDE
1982,2.688,ILLINOIS,WHITESIDE
1981,3.0576,ILLINOIS,WHITESIDE
1980,2.7552,ILLINOIS,WHITESIDE
2021,3.82368,ILLINOIS,WINNEBAGO
2020,3.81024,ILLINOIS,WINNEBAGO
2019,3.74976,ILLINOIS,WINNEBAGO
2018,3.79008,ILLINOIS,WINNEBAGO
2017,3.17184,ILLINOIS,WINNEBAGO
2016,3.94464,ILLINOIS,WINNEBAGO
2015,3.68928,ILLINOIS,WINNEBAGO
2014,3.53472,ILLINOIS,WINNEBAGO
2013,3.54144,ILLINOIS,WINNEBAGO
2012,2.64768,ILLINOIS,WINNEBAGO
2011,3.528,ILLINOIS,WINNEBAGO
2010,3.68256,ILLINOIS,WINNEBAGO
2009,3.024,ILLINOIS,WINNEBAGO
2008,2.8224,ILLINOIS,WINNEBAGO
2007,3.5616,ILLINOIS,WINNEBAGO
2006,3.0912,ILLINOIS,WINNEBAGO
2005,2.8896,ILLINOIS,WINNEBAGO
2004,2.8896,ILLINOIS,WINNEBAGO
2003,1.7472,ILLINOIS,WINNEBAGO
2002,2.4864,ILLINOIS,WINNEBAGO
2001,2.5536,ILLINOIS,WINNEBAGO
2000,2.4864,ILLINOIS,WINNEBAGO
1999,3.36,ILLINOIS,WINNEBAGO
1998,3.36,ILLINOIS,WINNEBAGO
1997,3.024,ILLINOIS,WINNEBAGO
1996,2.6544,ILLINOIS,WINNEBAGO
1995,3.024,ILLINOIS,WINNEBAGO
1994,3.024,ILLINOIS,WINNEBAGO
1993,2.4528,ILLINOIS,WINNEBAGO
1992,2.688,ILLINOIS,WINNEBAGO
1991,2.4864,ILLINOIS,WINNEBAGO
1990,2.9904,ILLINOIS,WINNEBAGO
1989,2.7216,ILLINOIS,WINNEBAGO
1988,1.4784,ILLINOIS,WINNEBAGO
1987,2.8224,ILLINOIS,WINNEBAGO
1986,2.4192,ILLINOIS,WINNEBAGO
1985,2.52,ILLINOIS,WINNEBAGO
1984,2.3184,ILLINOIS,WINNEBAGO
1983,2.352,ILLINOIS,WINNEBAGO
1982,2.352,ILLINOIS,WINNEBAGO
1981,2.688,ILLINOIS,WINNEBAGO
1980,2.4528,ILLINOIS,WINNEBAGO
2019,3.71616,ILLINOIS,OTHER (COMBINED) COUNTIES
2018,3.98496,ILLINOIS,OTHER (COMBINED) COUNTIES
2021,4.54272,ILLINOIS,BOONE
2020,3.5616,ILLINOIS,BOONE
2019,3.36,ILLINOIS,BOONE
2018,4.05216,ILLINOIS,BOONE
2017,3.18528,ILLINOIS,BOONE
2016,4.18656,ILLINOIS,BOONE
2015,3.90432,ILLINOIS,BOONE
2014,3.85728,ILLINOIS,BOONE
2013,3.528,ILLINOIS,BOONE
2012,2.95008,ILLINOIS,BOONE
2011,3.9984,ILLINOIS,BOONE
2010,3.90432,ILLINOIS,BOONE
2009,3.024,ILLINOIS,BOONE
2008,2.8224,ILLINOIS,BOONE
2007,3.2256,ILLINOIS,BOONE
2006,3.4272,ILLINOIS,BOONE
2005,2.352,ILLINOIS,BOONE
2004,3.2928,ILLINOIS,BOONE
2003,1.8144,ILLINOIS,BOONE
2002,2.5536,ILLINOIS,BOONE
2001,3.024,ILLINOIS,BOONE
2000,2.4192,ILLINOIS,BOONE
1999,3.36,ILLINOIS,BOONE
1998,3.528,ILLINOIS,BOONE
1997,2.9904,ILLINOIS,BOONE
1996,2.4192,ILLINOIS,BOONE
1995,2.856,ILLINOIS,BOONE
1994,3.2592,ILLINOIS,BOONE
1993,2.4864,ILLINOIS,BOONE
1992,2.8224,ILLINOIS,BOONE
1991,2.5536,ILLINOIS,BOONE
1990,2.8896,ILLINOIS,BOONE
1989,2.7552,ILLINOIS,BOONE
1988,1.6464,ILLINOIS,BOONE
1987,2.8896,ILLINOIS,BOONE
1986,2.4528,ILLINOIS,BOONE
1985,2.5872,ILLINOIS,BOONE
1984,2.1168,ILLINOIS,BOONE
1983,2.4864,ILLINOIS,BOONE
1982,2.4864,ILLINOIS,BOONE
1981,2.8224,ILLINOIS,BOONE
1980,2.6208,ILLINOIS,BOONE
2021,3.03072,ILLINOIS,COOK
2007,3.0912,ILLINOIS,COOK
2006,2.4864,ILLINOIS,COOK
2005,2.9568,ILLINOIS,COOK
2004,3.0912,ILLINOIS,COOK
2003,2.0832,ILLINOIS,COOK
2002,1.9488,ILLINOIS,COOK
2001,2.8896,ILLINOIS,COOK
2000,1.8144,ILLINOIS,COOK
1999,2.2176,ILLINOIS,COOK
1998,2.8224,ILLINOIS,COOK
1997,2.6208,ILLINOIS,COOK
1996,1.6128,ILLINOIS,COOK
1995,2.5536,ILLINOIS,COOK
1994,2.8224,ILLINOIS,COOK
1993,2.2512,ILLINOIS,COOK
1992,2.4528,ILLINOIS,COOK
1991,1.4448,ILLINOIS,COOK
1990,2.4528,ILLINOIS,COOK
1989,2.1504,ILLINOIS,COOK
1988,1.7808,ILLINOIS,COOK
1987,2.4192,ILLINOIS,COOK
1986,2.1504,ILLINOIS,COOK
1985,2.4528,ILLINOIS,COOK
1984,1.8816,ILLINOIS,COOK
1983,1.9824,ILLINOIS,COOK
1982,2.1504,ILLINOIS,COOK
1981,2.2848,ILLINOIS,COOK
1980,2.184,ILLINOIS,COOK
2021,4.22688,ILLINOIS,DE KALB
2020,3.9648,ILLINOIS,DE KALB
2019,3.73632,ILLINOIS,DE KALB
2018,4.10592,ILLINOIS,DE KALB
2017,3.60192,ILLINOIS,DE KALB
2016,4.536,ILLINOIS,DE KALB
2015,4.11264,ILLINOIS,DE KALB
2014,4.032,ILLINOIS,DE KALB
2013,4.00512,ILLINOIS,DE KALB
2012,3.4608,ILLINOIS,DE KALB
2011,4.05888,ILLINOIS,DE KALB
2010,3.85056,ILLINOIS,DE KALB
2009,3.1584,ILLINOIS,DE KALB
2008,3.2256,ILLINOIS,DE KALB
2007,3.4272,ILLINOIS,DE KALB
2006,3.6288,ILLINOIS,DE KALB
2005,2.9568,ILLINOIS,DE KALB
2004,3.36,ILLINOIS,DE KALB
2003,2.352,ILLINOIS,DE KALB
2002,3.0912,ILLINOIS,DE KALB
2001,3.0912,ILLINOIS,DE KALB
2000,3.024,ILLINOIS,DE KALB
1999,3.4944,ILLINOIS,DE KALB
1998,3.6288,ILLINOIS,DE KALB
1997,3.2928,ILLINOIS,DE KALB
1996,2.688,ILLINOIS,DE KALB
1995,3.1248,ILLINOIS,DE KALB
1994,3.6288,ILLINOIS,DE KALB
1993,2.9904,ILLINOIS,DE KALB
1992,2.9904,ILLINOIS,DE KALB
1991,3.1584,ILLINOIS,DE KALB
1990,3.0912,ILLINOIS,DE KALB
1989,2.9232,ILLINOIS,DE KALB
1988,2.52,ILLINOIS,DE KALB
1987,3.192,ILLINOIS,DE KALB
1986,2.7552,ILLINOIS,DE KALB
1985,2.9568,ILLINOIS,DE KALB
1984,2.52,ILLINOIS,DE KALB
1983,2.688,ILLINOIS,DE KALB
1982,2.7216,ILLINOIS,DE KALB
1981,3.024,ILLINOIS,DE KALB
1980,2.7216,ILLINOIS,DE KALB
2007,3.2256,ILLINOIS,DU PAGE
2006,3.1584,ILLINOIS,DU PAGE
2005,2.2176,ILLINOIS,DU PAGE
2004,2.8224,ILLINOIS,DU PAGE
2003,2.4192,ILLINOIS,DU PAGE
2002,2.5536,ILLINOIS,DU PAGE
2001,2.2176,ILLINOIS,DU PAGE
2000,2.0832,ILLINOIS,DU PAGE
1999,3.1584,ILLINOIS,DU PAGE
1998,3.1248,ILLINOIS,DU PAGE
1997,3.1584,ILLINOIS,DU PAGE
1996,1.9824,ILLINOIS,DU PAGE
